Rk,Player,Age,Pos,Tm ,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
30,Corey Perry,31,RW,ANA,82,19,34,53,2,76,14,5,0,3,19,15,0,215,8.8,1453,18,35,81,7,13,35
31,Ryan Kesler,32,C,ANA,82,22,36,58,8,83,14,8,0,2,24,12,0,186,11.8,1747,21,75,146,1029,764,57.4
32,Ryan Getzlaf,31,C,ANA,74,15,58,73,7,49,7,6,2,3,43,14,1,138,10.9,1559,21,88,99,509,503,50.3
33,Zbynek Michalek,34,D,ARI,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,53,18,5,7,0,0,
34,Jamie McBain,28,D,ARI,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,50,17,4,0,0,0,
35,Dylan Strome,19,C,ARI,7,0,1,1,-5,0,0,0,0,0,1,0,0,6,0,96,14,2,3,31,46,40.3
36,Tyler Gaudet,23,C,ARI,4,0,1,1,0,0,0,0,0,0,1,0,0,3,0,52,13,1,3,14,21,40
37,Kevin Connauton,26,D,ARI,24,0,1,1,-1,24,0,0,0,0,1,0,0,21,0,315,13,22,48,0,0,
38,Clayton Keller,18,LW,ARI,3,0,2,2,-3,0,0,0,0,0,1,1,0,0,,38,13,0,0,0,0,
39,Laurent Dauphin,21,C,ARI,24,2,1,3,-2,12,1,0,1,1,1,0,0,32,6.3,262,11,11,32,37,45,45.1
40,Christian Fischer,19,RW,ARI,7,3,0,3,0,0,3,0,0,1,0,0,0,10,30,86,12,0,9,0,0,
41,Luke Schenn,27,D,ARI,78,1,7,8,-9,85,1,0,0,0,7,0,0,94,1.1,1408,18,134,286,0,0,
42,Brad Richardson,31,RW,ARI,16,5,4,9,-1,15,3,0,2,0,3,0,1,25,20,246,15,7,19,121,109,52.6
43,Lawson Crouse,19,LW,ARI,72,5,7,12,-20,48,4,0,1,2,7,0,0,84,6,856,12,29,160,1,1,50
44,Anthony DeAngelo,21,D,ARI,39,5,9,14,-13,37,3,2,0,1,3,6,0,60,8.3,667,17,48,31,0,0,
45,Anthony Duclair,21,LW,ARI,58,5,10,15,-7,14,5,0,0,1,8,2,0,76,6.6,771,13,17,22,4,4,50
46,Connor Murphy,23,D,ARI,77,2,15,17,-13,45,1,0,1,1,15,0,0,81,2.5,1477,19,119,201,0,0,
47,Jamie McGinn,28,LW,ARI,72,9,8,17,-23,23,9,0,0,2,6,2,0,116,7.8,948,13,18,116,1,2,33.3
48,Jakob Chychrun,18,D,ARI,68,7,13,20,-14,47,6,1,0,0,12,1,0,86,8.1,1133,17,99,109,0,0,
49,Brendan Perlini,20,LW,ARI,57,14,7,21,-4,20,11,3,0,2,5,2,0,92,15.2,846,15,15,42,1,1,50
50,Jordan Martinook,24,LW,ARI,77,11,14,25,-8,40,9,1,1,2,11,1,2,109,10.1,1207,16,68,50,460,577,44.4
51,Shane Doan,40,RW,ARI,74,6,21,27,-3,48,3,3,0,0,19,2,0,144,4.2,1114,15,22,101,94,105,47.2
52,Christian Dvorak,20,LW,ARI,78,15,18,33,7,22,13,2,0,1,15,3,0,88,17,1218,16,56,72,471,535,46.8
53,Tobias Rieder,24,RW,ARI,80,16,18,34,-8,6,13,2,1,1,13,4,1,155,10.3,1385,17,38,24,4,9,30.8
54,Alex Goligoski,31,D,ARI,82,6,30,36,-9,28,4,1,1,0,22,7,1,112,5.4,1913,23,143,137,0,0,
55,Max Domi,21,LW,ARI,59,9,29,38,-9,40,8,1,0,1,22,7,0,108,8.3,1002,17,21,28,5,5,50
56,Oliver Ekman-Larsson,25,D,ARI,79,12,27,39,-25,48,4,8,0,1,16,11,0,145,8.3,1945,25,85,112,0,0,
57,Radim Vrbata,35,RW,ARI,81,20,35,55,-18,16,16,4,0,4,24,11,0,233,8.6,1369,17,31,48,17,30,36.2
58,Rob O'Gara,23,D,BOS,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,48,16,7,3,0,0,
59,Danton Heinen,21,C,BOS,8,0,0,0,-3,2,0,0,0,0,0,0,0,7,0,106,13,2,6,0,0,
60,Matthew Grzelcyk,23,D,BOS,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,25,13,1,0,0,0,
61,Jakob Forsbacka Karlsson,20,C,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,8,0,0,1,1,50
62,Joseph Morrow,24,D,BOS,17,0,1,1,-4,8,0,0,0,0,1,0,0,19,0,264,16,19,29,0,0,
63,Sean Kuraly,24,C,BOS,8,0,1,1,-1,2,0,0,0,0,1,0,0,11,0,74,9,1,9,1,2,33.3
64,Peter Cehlarik,21,LW,BOS,11,0,2,2,0,0,0,0,0,0,1,1,0,8,0,153,14,4,7,2,1,66.7
65,Anton Blidh,21,LW,BOS,19,1,1,2,-2,7,1,0,0,0,1,0,0,26,3.8,167,9,4,41,0,0,
66,John-Michael Liles,36,D,BOS,36,0,5,5,1,4,0,0,0,0,2,3,0,36,0,583,16,41,25,2,0,100
67,Jimmy Hayes,27,RW,BOS,58,2,3,5,-3,29,2,0,0,1,3,0,0,74,2.7,535,9,10,74,14,41,25.5
68,Noel Acciari,25,C,BOS,29,2,3,5,3,16,2,0,0,0,3,0,0,24,8.3,301,10,5,80,11,18,37.9
69,Matt Beleskey,28,LW,BOS,49,3,5,8,-10,47,3,0,0,0,3,2,0,79,3.8,650,13,18,98,29,41,41.4
70,Adam McQuaid,30,D,BOS,77,2,8,10,4,71,2,0,0,1,7,0,1,64,3.1,1405,18,144,157,0,0,
71,Kevan Miller,29,D,BOS,58,3,10,13,1,50,3,0,0,1,9,0,1,49,6.1,1032,18,76,121,0,0,
72,Austin Czarnik,24,C,BOS,49,5,8,13,-10,12,5,0,0,1,5,3,0,66,7.6,638,13,25,19,57,76,42.9
73,Colin Miller,24,D,BOS,61,6,7,13,0,55,5,1,0,0,6,1,0,85,7.1,965,16,36,85,0,0,
74,Tim Schaller,26,C,BOS,59,7,7,14,-6,23,7,0,0,2,7,0,0,89,7.9,724,12,38,73,28,29,49.1
75,Brandon Carlo,20,D,BOS,82,6,10,16,9,59,5,0,1,0,10,0,0,88,6.8,1707,21,115,87,0,0,
76,Riley Nash,27,C,BOS,81,7,10,17,-1,14,6,0,1,2,8,0,2,125,5.6,1118,14,36,67,276,286,49.1
77,Frank Vatrano,22,C,BOS,44,10,8,18,-3,14,6,4,0,1,7,1,0,116,8.6,593,13,16,51,2,5,28.6
78,Dominic Moore,36,C,BOS,82,11,14,25,2,44,8,0,3,1,13,0,1,96,11.5,1061,13,42,63,357,297,54.6
79,Zdeno Chara,39,D,BOS,75,10,19,29,18,59,7,1,2,0,17,2,0,136,7.4,1750,23,140,130,0,1,0
80,David Backes,32,RW,BOS,74,17,21,38,2,69,15,2,0,2,16,5,0,175,9.7,1267,17,47,225,60,63,48.8
81,Ryan Spooner,25,C,BOS,78,11,28,39,-8,14,8,3,0,3,12,15,1,145,7.6,1099,14,17,24,79,124,38.9
82,Torey Krug,25,D,BOS,81,8,43,51,-10,37,2,6,0,1,24,19,0,208,3.8,1750,22,82,59,0,1,0
83,Patrice Bergeron,31,C,BOS,79,21,32,53,12,24,13,8,0,7,20,9,3,302,7,1534,19,47,54,1086,722,60.1
84,David Krejci,30,C,BOS,82,23,31,54,-12,26,15,8,0,3,25,6,0,158,14.6,1498,18,51,40,657,620,51.4
85,David Pastrnak,20,RW,BOS,75,34,36,70,11,34,24,10,0,6,22,14,0,262,13,1349,18,32,72,2,1,66.7
86,Brad Marchand,28,LW,BOS,80,39,46,85,18,81,27,9,3,8,29,15,2,226,17.3,1555,19,35,51,13,23,36.1
87,Casey Nelson,24,D,BUF,11,0,0,0,-3,4,0,0,0,0,0,0,0,10,0,139,13,5,15,0,0,
88,Sean Malone,21,C,BUF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,1,0,5,3,62.5
89,Brendan Guhle,19,D,BUF,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,49,16,8,3,0,0,
90,Erik Burgdoerfer,28,D,BUF,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,22,11,0,5,0,0,
91,Brady Austin,23,D,BUF,5,0,0,0,0,4,0,0,0,0,0,0,0,8,0,80,16,0,6,0,0,
92,C.J. Smith,22,LW,BUF,2,0,1,1,-1,0,0,0,0,0,1,0,0,2,0,23,12,0,0,0,0,
93,Cole Schneider,26,LW,BUF,4,0,1,1,2,0,0,0,0,0,1,0,0,6,0,29,7,2,3,0,0,
94,Cal O'Reilly,30,C,BUF,11,0,1,1,-6,0,0,0,0,0,1,0,0,3,0,87,8,3,2,32,34,48.5
95,Alexander Nylander,18,RW,BUF,4,0,1,1,-2,0,0,0,0,0,1,0,0,4,0,49,12,2,1,0,2,0
96,Hudson Fasching,21,RW,BUF,10,0,1,1,-1,2,0,0,0,0,1,0,0,6,0,104,10,2,17,0,0,
97,Nicolas Deslauriers,25,LW,BUF,42,0,2,2,-6,38,0,0,0,0,2,0,0,26,0,311,7,5,109,0,3,0
98,Justin Bailey,21,RW,BUF,32,2,2,4,0,4,2,0,0,1,2,0,0,36,5.6,340,11,14,27,0,1,0
99,Nicholas Baptiste,21,RW,BUF,14,3,1,4,1,6,3,0,0,0,1,0,0,16,18.8,129,9,1,12,1,2,33.3
100,Dmitry Kulikov,26,D,BUF,47,2,3,5,-26,26,1,1,0,0,1,2,0,42,4.8,1029,22,72,60,0,0,
101,Josh Gorges,32,D,BUF,66,1,5,6,-3,50,1,0,0,0,5,0,0,40,2.5,1218,18,108,143,0,1,0
102,Evan Rodrigues,23,LW,BUF,30,4,2,6,-7,4,3,1,0,0,2,0,0,51,7.8,388,13,12,12,104,146,41.6
103,Taylor Fedun,28,D,BUF,27,0,7,7,3,16,0,0,0,0,4,3,0,24,0,361,13,20,7,0,0,
104,Justin Falk,28,D,BUF,52,0,8,8,-3,29,0,0,0,0,8,0,0,33,0,712,14,40,101,1,0,100
105,William Carrier,22,LW,BUF,41,5,3,8,-1,21,5,0,0,1,3,0,0,50,10,369,9,10,112,1,1,50
106,Zach Bogosian,26,D,BUF,56,2,9,11,-17,46,2,0,0,1,8,1,0,73,2.7,1125,20,97,59,0,1,0
107,Johan Larsson,24,C,BUF,36,6,5,11,-7,20,5,1,0,2,5,0,0,49,12.2,607,17,23,33,261,271,49.1
108,Tyler Ennis,27,LW,BUF,51,5,8,13,-10,12,5,0,0,1,5,3,0,89,5.6,655,13,23,45,3,13,18.8
109,Zemgus Girgensons,23,C,BUF,75,7,9,16,-7,18,7,0,0,0,9,0,0,112,6.3,987,13,26,120,273,306,47.2
110,Cody Franson,29,D,BUF,68,3,16,19,-5,34,2,1,0,0,15,1,0,93,3.2,1257,18,68,87,0,0,
111,Jake McCabe,23,D,BUF,76,3,17,20,-7,26,2,1,0,1,14,3,0,79,3.8,1574,21,114,73,0,0,
112,Marcus Foligno,25,LW,BUF,80,13,10,23,-1,73,12,0,1,0,10,0,0,97,13.4,1238,15,57,279,1,4,20
113,Matt Moulson,33,LW,BUF,81,14,18,32,-4,10,3,11,0,2,11,7,0,134,10.4,940,12,18,37,1,3,25
114,Brian Gionta,38,RW,BUF,82,15,20,35,-11,22,11,3,1,3,15,4,1,149,10.1,1362,17,30,54,46,60,43.4
115,Evander Kane,25,LW,BUF,70,28,15,43,-17,113,25,3,0,5,10,5,0,260,10.8,1344,19,29,109,55,67,45.1
116,Rasmus Ristolainen,22,D,BUF,79,6,39,45,-9,58,5,1,0,2,14,24,1,186,3.2,2091,26,161,195,0,0,
117,Kyle Okposo,28,RW,BUF,65,19,26,45,-7,24,12,7,0,2,10,16,0,156,12.2,1233,19,25,53,54,45,54.5
118,Sam Reinhart,21,C,BUF,79,17,30,47,-11,8,8,9,0,3,22,8,0,178,9.6,1360,17,40,21,86,124,41
119,Ryan O'Reilly,25,C,BUF,72,20,35,55,-1,10,11,8,1,3,18,16,1,189,10.6,1545,21,45,21,1039,752,58
120,Jack Eichel,20,C,BUF,61,24,33,57,-13,22,14,10,0,4,19,14,0,249,9.6,1215,20,35,26,310,486,38.9
121,Andrew Poturalski,23,C,CAR,2,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,25,13,1,1,12,12,50
122,Jakub Nakladal,29,D,CAR,3,0,0,0,-4,0,0,0,0,0,0,0,0,3,0,44,15,4,2,0,0,
123,Martin Frk,23,RW,CAR,2,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,17,9,1,3,0,0,
124,Patrick Brown,24,C,CAR,14,0,0,0,-6,0,0,0,0,0,0,0,0,12,0,136,10,5,30,9,6,60
125,Sergey Tolchinsky,21,LW,CAR,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,23,12,0,0,0,0,
126,Valentin Zykov,21,LW,CAR,2,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,13,7,0,0,0,0,
127,Bryan Bickell,30,LW,CAR,11,1,0,1,-4,4,0,1,0,1,0,0,0,8,12.5,115,10,3,16,0,2,0
128,Lucas Wallmark,21,C,CAR,8,0,2,2,1,2,0,0,0,0,2,0,0,11,0,87,11,3,14,31,27,53.4
129,Ryan Murphy,23,D,CAR,27,0,2,2,-11,8,0,0,0,0,2,0,0,17,0,356,13,31,2,0,0,
130,Andrej Nestrasil,25,C,CAR,19,1,4,5,-3,2,1,0,0,0,4,0,0,27,3.7,207,11,6,10,3,7,30
131,Matt Tennyson,26,D,CAR,45,0,6,6,-13,6,0,0,0,0,6,0,0,36,0,598,13,48,65,0,0,
132,Klas Dahlbeck,25,D,CAR,43,2,4,6,-12,30,2,0,0,0,4,0,0,37,5.4,597,14,38,77,0,0,
133,Phillip Di Giuseppe,23,LW,CAR,36,1,6,7,-12,15,1,0,0,1,5,1,0,68,1.5,443,12,10,91,0,2,0
134,Jay McClement,33,C,CAR,65,5,3,8,-8,18,4,0,1,1,3,0,0,37,13.5,740,11,40,49,253,272,48.2
135,Joakim Nordstrom,24,LW,CAR,82,7,5,12,-12,17,6,0,1,2,5,0,0,104,6.7,1043,13,41,148,9,20,31
136,Brock McGinn,22,LW,CAR,57,7,9,16,-11,6,7,0,0,1,8,0,1,74,9.5,684,12,22,91,1,3,25
137,Brett Pesce,22,D,CAR,82,2,18,20,23,20,2,0,0,0,16,2,0,109,1.8,1739,21,148,57,0,0,
138,Noah Hanifin,20,D,CAR,81,4,25,29,-19,26,2,2,0,1,16,9,0,108,3.7,1452,18,73,57,0,0,
139,Derek Ryan,30,C,CAR,67,11,18,29,-8,22,6,4,1,3,14,4,0,73,15.1,998,15,37,33,391,316,55.3
140,Jaccob Slavin,22,D,CAR,82,5,29,34,23,12,4,0,1,0,22,4,3,99,5.1,1922,23,161,35,0,0,
141,Justin Faulk,24,D,CAR,75,17,20,37,-18,32,13,4,0,2,11,9,0,225,7.6,1736,23,84,117,0,0,
142,Lee Stempniak,33,RW,CAR,82,16,24,40,2,32,14,2,0,2,20,4,0,131,12.2,1299,16,16,113,3,5,37.5
143,Teuvo Teravainen,22,LW,CAR,81,15,27,42,-6,16,10,5,0,2,17,10,0,169,8.9,1315,16,33,27,193,220,46.7
144,Elias Lindholm,22,C,CAR,72,11,34,45,-2,16,8,2,1,0,21,9,4,151,7.3,1309,18,43,99,353,282,55.6
145,Jordan Staal,28,C,CAR,75,16,29,45,-1,38,11,4,1,3,25,4,0,164,9.8,1400,19,29,139,688,477,59.1
146,Victor Rask,23,C,CAR,82,16,29,45,-10,16,12,4,0,3,22,6,1,186,8.6,1418,17,33,43,457,461,49.8
147,Sebastian Aho,19,RW,CAR,82,24,25,49,-1,26,17,6,1,4,13,11,1,214,11.2,1377,17,14,51,17,18,48.6
148,Jeff Skinner,24,LW,CAR,79,37,26,63,-3,28,30,7,0,4,18,8,0,281,13.2,1401,18,28,33,10,17,37
149,T.J. Tynan,24,RW,CBJ,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,22,7,1,1,0,0,
150,Sonny Milano,20,LW,CBJ,4,0,0,0,-3,0,0,0,0,0,0,0,0,2,0,47,12,2,3,0,0,
151,Gabriel Carlsson,20,D,CBJ,2,0,1,1,-2,0,0,0,0,0,1,0,0,3,0,34,17,2,5,0,0,
152,Markus Hannikainen,23,LW,CBJ,10,1,1,2,0,6,1,0,0,0,1,0,0,8,12.5,91,9,5,16,0,0,
153,Scott Harrington,23,D,CBJ,22,1,2,3,3,10,1,0,0,0,2,0,0,16,6.3,286,13,24,21,0,0,
154,Markus Nutivaara,22,D,CBJ,66,2,5,7,7,6,2,0,0,0,5,0,0,66,3,872,13,38,36,0,0,
155,Ryan Murray,23,D,CBJ,60,2,9,11,3,24,2,0,0,0,7,1,1,52,3.8,1100,18,96,23,0,0,
156,Oliver Bjorkstrand,21,RW,CBJ,26,6,7,13,4,6,6,0,0,2,7,0,0,55,10.9,366,14,9,14,1,0,100
157,Lukas Sedlak,23,LW,CBJ,62,7,6,13,10,25,6,0,1,0,6,0,0,57,12.3,603,10,28,66,232,211,52.4
158,Matt Calvert,27,LW,CBJ,65,10,5,15,-4,48,7,0,3,1,4,0,1,92,10.9,868,13,34,61,2,14,12.5
159,Jack Johnson,30,D,CBJ,82,5,18,23,23,32,4,1,0,1,16,1,1,116,4.3,1789,22,134,94,1,0,100
160,David Savard,26,D,CBJ,74,6,17,23,33,44,6,0,0,0,15,0,2,135,4.4,1616,22,126,127,0,0,
161,William Karlsson,24,C,CBJ,81,6,19,25,10,10,5,1,0,3,17,0,2,96,6.3,1084,13,24,35,435,525,45.3
162,Josh Anderson,22,RW,CBJ,78,17,12,29,12,89,17,0,0,3,12,0,0,119,14.3,938,12,40,147,8,21,27.6
163,Boone Jenner,23,C,CBJ,82,18,15,33,14,52,16,0,2,4,14,1,0,211,8.5,1317,16,80,216,92,92,50
164,Scott Hartnell,34,LW,CBJ,78,13,24,37,14,63,11,2,0,1,23,1,0,104,12.5,941,12,40,94,3,3,50
165,Brandon Dubinsky,30,C,CBJ,80,12,29,41,16,91,10,1,1,5,26,3,0,115,10.4,1432,18,60,248,770,718,51.7
166,Seth Jones,22,D,CBJ,75,12,30,42,6,24,11,1,0,3,24,6,0,152,7.9,1755,23,118,61,0,0,
167,Zach Werenski,19,D,CBJ,78,11,36,47,17,14,7,4,0,1,19,17,0,188,5.9,1631,21,90,41,0,0,
168,Sam Gagner,27,C,CBJ,81,18,32,50,10,22,10,8,0,1,22,10,0,178,10.1,1111,14,16,22,202,223,47.5
169,Nick Foligno,29,LW,CBJ,79,26,25,51,-4,55,15,11,0,5,15,10,0,185,14.1,1456,18,50,157,41,47,46.6
170,Brandon Saad,24,LW,CBJ,82,24,29,53,23,8,23,1,0,4,27,2,0,210,11.4,1396,17,26,24,4,5,44.4
171,Alexander Wennberg,22,C,CBJ,80,13,46,59,9,21,11,2,0,5,25,21,0,109,11.9,1470,18,56,58,609,676,47.4
172,Cam Atkinson,27,RW,CBJ,82,35,27,62,13,22,22,10,3,9,16,11,0,240,14.6,1483,18,34,33,2,1,66.7
173,Tyler Wotherspoon,23,D,CGY,4,0,0,0,-2,0,0,0,0,0,0,0,0,4,0,44,11,2,3,0,0,
174,Linden Vey,25,RW,CGY,4,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,44,11,0,1,9,15,37.5
175,Mark Jankowski,22,C,CGY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,10,0,1,5,3,62.5
176,Nicklas Grossmann,32,D,CGY,3,0,0,0,-4,2,0,0,0,0,0,0,0,3,0,39,13,1,7,0,0,
177,Rasmus Andersson,20,D,CGY,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,19,2,4,0,0,
178,Hunter Shinkaruk,22,LW,CGY,7,0,1,1,-3,2,0,0,0,0,1,0,0,5,0,74,11,3,3,0,0,
179,Matt Bartkowski,28,D,CGY,24,1,1,2,-4,26,1,0,0,0,1,0,0,16,6.3,369,15,12,46,0,0,
180,Freddie Hamilton,25,C,CGY,26,2,0,2,-3,8,2,0,0,1,0,0,0,30,6.7,254,10,1,46,75,51,59.5
181,Brett Kulak,23,D,CGY,21,0,3,3,-3,12,0,0,0,0,3,0,0,19,0,299,14,13,14,0,0,
182,Garnet Hathaway,25,RW,CGY,26,1,4,5,0,44,1,0,0,0,4,0,0,22,4.5,238,9,14,56,10,9,52.6
183,Lance Bouma,26,C,CGY,61,3,4,7,-2,35,3,0,0,1,4,0,0,53,5.7,692,11,44,127,4,8,33.3
184,Deryk Engelland,34,D,CGY,81,4,12,16,2,85,4,0,0,2,12,0,0,107,3.7,1485,18,134,135,1,0,100
185,Dennis Wideman,33,D,CGY,57,5,13,18,-6,32,3,2,0,1,10,3,0,87,5.7,1153,20,74,61,0,0,
186,Matt Stajan,33,C,CGY,81,6,17,23,3,40,6,0,0,3,15,0,2,59,10.2,1027,13,39,60,385,383,50.1
187,Alex Chiasson,26,RW,CGY,81,12,12,24,-6,46,11,0,1,1,10,2,0,104,11.5,1084,13,18,74,7,22,24.1
188,Troy Brouwer,31,RW,CGY,74,13,12,25,-11,31,7,5,1,2,5,6,1,86,15.1,1200,16,39,171,20,44,31.3
189,Micheal Ferland,24,LW,CGY,76,15,10,25,-1,50,13,2,0,1,8,2,0,106,14.2,879,12,26,149,3,4,42.9
190,Sam Bennett,20,C,CGY,81,13,13,26,-16,75,9,4,0,0,12,0,1,122,10.7,1214,15,46,127,374,437,46.1
191,T.J. Brodie,26,D,CGY,82,6,30,36,-16,24,4,1,1,2,18,11,1,78,7.7,1934,24,115,30,0,0,
192,Kris Versteeg,30,RW,CGY,69,15,22,37,-3,46,7,8,0,1,14,8,0,136,11,1016,15,28,5,53,49,52
193,Mark Giordano,33,D,CGY,81,12,27,39,22,59,7,3,2,4,15,11,1,151,7.9,1910,24,184,78,0,0,
194,Michael Frolik,28,RW,CGY,82,17,27,44,13,58,12,3,2,1,21,5,1,202,8.4,1401,17,48,60,13,16,44.8
195,Matthew Tkachuk,19,LW,CGY,76,13,35,48,14,105,10,3,0,2,25,10,0,142,9.2,1114,15,22,65,8,15,34.8
196,Dougie Hamilton,23,D,CGY,81,13,37,50,12,64,11,2,0,5,24,12,1,222,5.9,1594,20,94,68,0,0,
197,Mikael Backlund,27,C,CGY,81,22,31,53,9,36,15,7,0,7,19,9,3,197,11.2,1426,18,41,55,711,768,48.1
198,Sean Monahan,22,C,CGY,82,27,31,58,-1,20,18,8,1,4,22,9,0,199,13.6,1441,18,25,34,743,701,51.5
199,Johnny Gaudreau,23,LW,CGY,72,18,43,61,-7,4,14,4,0,3,31,12,0,182,9.9,1331,18,14,9,0,0,
200,Spencer Abbott,28,LW,CHI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,0,0,0,0,
201,Andrew Desjardins,30,LW,CHI,46,0,1,1,-6,22,0,0,0,0,1,0,0,46,0,432,9,17,73,39,30,56.5
202,Michal Rozsival,38,D,CHI,22,1,2,3,-3,14,1,0,0,1,2,0,0,16,6.3,341,16,25,47,0,0,
203,Jordin Tootoo,33,RW,CHI,50,2,1,3,-6,28,2,0,0,0,1,0,0,43,4.7,337,7,8,52,1,0,100
204,John Hayden,21,LW,CHI,12,1,3,4,3,4,1,0,0,0,3,0,0,22,4.5,140,12,2,44,0,0,
205,Gustav Forsling,20,D,CHI,38,2,3,5,3,4,2,0,0,0,2,1,0,48,4.2,563,15,17,16,0,0,
206,Tyler Motte,21,LW,CHI,33,4,3,7,2,14,4,0,0,0,3,0,0,46,8.7,376,11,24,27,4,6,40
207,Michal Kempny,26,D,CHI,50,2,6,8,1,22,2,0,0,0,6,0,0,67,3,748,15,59,76,0,0,
208,Dennis Rasmussen,26,C,CHI,68,4,4,8,-4,12,4,0,0,0,4,0,0,77,5.2,804,12,49,61,165,205,44.6
209,Vinnie Hinostroza,22,LW,CHI,49,6,8,14,-1,17,6,0,0,2,8,0,0,76,7.9,587,12,19,31,68,103,39.8
