Rk,Player,Age,Tm ,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
20,Joonas Korpisalo,22,CBJ,14,13,7,5,1,38,401,363,0.905,2.88,1,791,6,0.462,2,110,-3.3,0,0,0,0
21,Anton Forsberg,24,CBJ,1,1,0,1,0,4,27,23,0.852,4.07,0,59,0,0,0,,,0,0,0,0
22,Sergei Bobrovsky,28,CBJ,63,63,41,17,5,127,1854,1727,0.931,2.06,7,3707,41,0.651,5,79,33.45,0,0,0,8
23,David Rittich,24,CGY,1,0,0,0,0,1,10,9,0.9,3,0,20,0,,0,,,0,0,0,0
24,Chad Johnson,30,CGY,36,36,18,15,1,87,969,882,0.91,2.59,3,2013,18,0.5,7,104,-3.14,0,0,0,0
25,Jon Gillies,23,CGY,1,1,1,0,0,1,28,27,0.964,1,0,60,1,1,0,,,0,0,0,0
26,Brian Elliott,31,CGY,49,45,26,18,3,121,1338,1217,0.91,2.55,2,2844,26,0.578,4,104,-5.21,0,0,0,4
27,Scott Darling,28,CHI,32,27,18,5,5,67,877,810,0.924,2.38,2,1689,17,0.63,1,88,8.9,0,0,0,0
28,Corey Crawford,32,CHI,55,55,32,18,4,138,1691,1553,0.918,2.55,2,3247,29,0.527,7,94,8.34,0,1,1,2
29,Semyon Varlamov,28,COL,24,23,6,17,0,76,745,669,0.898,3.38,1,1348,11,0.478,5,118,-11.53,0,1,1,0
30,Jeremy Smith,27,COL,10,8,1,6,1,32,286,254,0.888,3.54,0,543,3,0.375,3,,,0,0,0,0
31,Calvin Pickard,24,COL,50,48,15,31,2,140,1461,1321,0.904,2.98,2,2820,21,0.438,11,111,-13.56,0,2,2,2
32,Spencer Martin,21,COL,3,3,0,2,1,13,96,83,0.865,4.36,0,179,0,0,1,,,0,0,0,0
33,Antti Niemi,33,DAL,37,30,12,12,4,95,880,785,0.892,3.3,0,1729,14,0.467,7,125,-18.84,0,0,0,0
34,Kari Lehtonen,33,DAL,59,52,22,25,7,151,1546,1395,0.902,2.85,3,3177,27,0.519,12,113,-17.21,0,1,1,4
35,Petr Mrazek,24,DET,50,44,18,21,9,145,1462,1317,0.901,3.04,1,2858,19,0.432,9,115,-18.48,0,0,0,2
36,Jimmy Howard,32,DET,26,24,10,11,1,49,675,626,0.927,2.1,1,1397,16,0.667,4,84,9.42,0,0,0,2
37,Jared Coreau,25,DET,14,14,5,4,3,41,362,321,0.887,3.46,2,712,5,0.357,6,131,-9.67,0,0,0,0
38,Cam Talbot,29,EDM,73,73,42,22,8,171,2117,1946,0.919,2.39,7,4294,43,0.589,10,93,12.21,0,0,0,4
39,Jonas Gustavsson,32,EDM,7,5,1,3,1,17,139,122,0.878,3.1,0,329,2,0.4,3,,,0,0,0,0
40,Laurent Brossoit,23,EDM,8,4,4,1,0,11,153,142,0.928,1.99,0,332,2,0.5,0,,,0,0,0,0
41,James Reimer,28,FLA,43,39,18,16,5,98,1222,1124,0.92,2.53,3,2325,19,0.487,4,93,7.75,0,0,0,2
42,Roberto Luongo,37,FLA,40,39,17,15,6,104,1217,1113,0.915,2.68,1,2327,21,0.538,1,99,1.32,0,1,1,4
43,Reto Berra,30,FLA,7,4,0,5,0,18,145,127,0.876,3.45,0,313,0,0,2,,,0,0,0,0
44,Jeff Zatkoff,29,LAK,13,8,2,7,1,27,223,196,0.879,2.95,0,550,2,0.25,4,,,0,0,0,0
45,Jonathan Quick,31,LAK,17,17,8,5,2,35,421,386,0.917,2.26,2,931,11,0.647,2,96,1.43,0,0,0,2
46,Jack Campbell,25,LAK,1,0,0,0,0,0,5,5,1,0,0,20,0,,0,,,0,0,0,0
47,Alex Stalock,29,MIN,2,2,1,1,0,3,54,51,0.944,1.51,0,119,2,1,0,,,0,0,0,0
48,Darcy Kuemper,26,MIN,18,17,8,5,3,55,562,507,0.902,3.13,0,1053,5,0.294,3,113,-6.36,0,1,1,4
49,Devan Dubnyk,30,MIN,65,63,40,19,5,141,1842,1701,0.923,2.25,5,3758,39,0.619,7,88,18.41,0,0,0,10
50,Carey Price,29,MTL,62,62,37,20,5,138,1794,1656,0.923,2.23,3,3708,38,0.613,8,89,17.25,0,1,1,4
51,Al Montoya,31,MTL,19,18,8,6,4,50,569,519,0.912,2.67,2,1125,12,0.667,2,102,-0.76,0,2,2,2
52,Charlie Lindgren,23,MTL,2,2,2,0,0,3,59,56,0.949,1.48,0,122,2,1,0,,,0,0,0,0
53,Cory Schneider,30,NJD,60,59,20,27,11,163,1781,1618,0.908,2.82,2,3473,27,0.458,7,106,-8.87,0,0,0,0
54,Keith Kinkaid,27,NJD,26,23,8,13,3,65,778,713,0.916,2.64,1,1476,12,0.522,4,97,2.33,0,1,1,0
55,Juuse Saros,21,NSH,21,19,10,8,3,47,614,567,0.923,2.35,1,1200,13,0.684,1,88,6.14,0,1,1,0
56,Pekka Rinne,34,NSH,61,61,31,19,9,144,1757,1613,0.918,2.42,3,3568,34,0.557,7,95,8.05,0,0,0,4
57,Marek Mazanec,25,NSH,4,2,0,2,0,14,87,73,0.839,4.72,0,178,0,0,2,,,0,1,1,0
58,Jaroslav Halak,31,NYI,28,26,12,9,5,75,885,810,0.915,2.8,2,1605,14,0.538,3,98,1.59,0,1,1,0
59,Thomas Greiss,31,NYI,51,49,26,18,5,126,1453,1327,0.913,2.69,3,2813,30,0.612,11,100,-0.26,0,1,1,0
60,Jean-Francois Berube,25,NYI,14,7,3,2,2,30,271,241,0.889,3.42,0,527,3,0.429,2,,,0,0,0,0
61,Antti Raanta,27,NYR,30,26,16,8,2,61,782,721,0.922,2.26,4,1617,18,0.692,1,90,6.67,0,1,1,0
62,Henrik Lundqvist,34,NYR,57,55,31,20,4,148,1650,1502,0.91,2.74,2,3240,32,0.582,8,104,-5.21,0,1,1,0
63,Magnus Hellberg,25,NYR,2,1,1,0,0,2,28,26,0.929,1.52,0,79,1,1,0,,,0,0,0,0
64,Andrew Hammond,28,OTT,6,4,0,2,0,14,86,72,0.837,4.08,0,206,1,0.25,3,,,0,0,0,0
65,Chris Driedger,22,OTT,1,0,0,1,0,4,15,11,0.733,6,0,40,0,,0,,,0,0,0,0
66,Craig Anderson,35,OTT,40,40,25,11,4,92,1247,1155,0.926,2.28,5,2421,25,0.625,4,85,15.92,0,1,1,0
67,Anthony Stolarz,23,PHI,7,4,2,1,1,13,181,168,0.928,2.07,1,376,2,0.5,1,,,0,0,0,0
68,Michal Neuvirth,28,PHI,28,24,11,11,1,64,586,522,0.891,2.82,0,1364,10,0.417,4,126,-13.29,0,0,0,2
69,Steve Mason,28,PHI,58,54,26,21,8,143,1556,1413,0.908,2.66,3,3225,26,0.481,11,106,-8.34,0,1,1,0
70,Matthew Murray,22,PIT,49,47,32,10,4,111,1450,1339,0.923,2.41,4,2766,26,0.553,4,88,14.48,0,2,2,0
71,Tristan Jarry,21,PIT,1,1,0,1,0,3,25,22,0.88,3.05,0,59,0,0,0,,,0,0,0,0
72,Marc-Andre Fleury,32,PIT,38,34,18,10,7,107,1181,1074,0.909,3.02,1,2125,16,0.471,5,105,-4.8,0,0,0,6
73,Martin Jones,27,SJS,65,65,35,23,6,152,1725,1573,0.912,2.4,2,3800,39,0.6,8,102,-2.72,0,0,0,0
74,Aaron Dell,27,SJS,20,17,11,6,1,37,533,496,0.931,2,1,1111,12,0.706,1,80,9.13,0,0,0,0
75,Carter Hutton,31,STL,30,21,13,8,2,58,663,605,0.913,2.39,4,1459,11,0.524,3,101,-0.62,0,1,1,4
76,Pheonix Copley,25,STL,1,1,0,1,0,5,29,24,0.828,5.08,0,59,0,0,1,,,0,0,0,0
77,Jake Allen,26,STL,61,60,33,20,5,138,1620,1482,0.915,2.42,4,3418,33,0.55,11,98,2.2,0,1,1,4
78,Andrei Vasilevskiy,22,TBL,50,47,23,17,7,123,1480,1357,0.917,2.61,2,2831,25,0.532,5,96,5.08,0,2,2,2
79,Kristers Gudlevskis,24,TBL,1,0,0,0,0,0,3,3,1,0,0,11,0,,0,,,0,0,0,0
80,Jhonas Enroth,28,TOR,6,4,0,3,1,18,141,123,0.872,3.94,0,274,0,0,0,,,0,0,0,0
81,Antoine Bibeau,22,TOR,2,2,1,1,0,4,55,51,0.927,1.98,0,121,2,1,0,,,0,0,0,0
82,Frederik Andersen,27,TOR,66,66,33,16,14,169,2052,1883,0.918,2.67,4,3799,38,0.576,11,95,8.58,0,1,1,16
83,Curtis McElhinney,33,TOT,21,15,8,8,2,51,616,565,0.917,2.7,1,1135,9,0.6,0,96,2.31,0,0,0,0
84,Mike Condon,26,TOT,41,38,19,14,6,96,1122,1026,0.914,2.48,5,2324,19,0.5,7,99,1.1,0,0,0,4
85,Peter Budaj,34,TOT,60,55,30,21,3,120,1414,1294,0.915,2.18,7,3308,32,0.582,7,98,2.37,0,1,1,0
86,Ben Bishop,30,TOT,39,37,18,15,5,94,1040,946,0.91,2.54,1,2223,19,0.514,6,104,-4,0,0,0,10
87,Ryan Miller,36,VAN,54,54,18,29,6,150,1737,1587,0.914,2.8,3,3212,26,0.481,7,100,0.32,0,1,1,22
88,Jacob Markstrom,27,VAN,26,23,10,11,3,62,692,630,0.91,2.63,0,1417,12,0.522,2,104,-2.11,0,0,0,2
89,Richard Bachman,29,VAN,5,5,2,3,0,13,162,149,0.92,2.64,0,295,2,0.4,0,,,0,0,0,0
90,Ondrej Pavelec,29,WPG,8,8,4,4,0,26,233,207,0.888,3.55,0,440,2,0.25,2,,,0,0,0,0
91,Michael Hutchinson,26,WPG,28,20,9,12,3,67,690,623,0.903,2.92,1,1378,8,0.4,1,112,-7.29,0,0,0,0
92,Connor Hellebuyck,23,WPG,56,53,26,19,4,146,1572,1426,0.907,2.89,4,3034,25,0.472,9,107,-9.96,0,0,0,0
93,Eric Comrie,21,WPG,1,1,1,0,0,4,39,35,0.897,4.07,0,59,0,0,0,,,0,0,0,0
94,Braden Holtby,27,WSH,63,63,42,13,6,127,1690,1563,0.925,2.07,9,3680,39,0.619,8,87,19.25,0,0,0,0
95,Philipp Grubauer,25,WSH,23,19,13,6,2,43,585,542,0.926,2.05,3,1258,13,0.684,1,85,7.63,0,0,0,0
